"No.","Channel Name","Receive Frequency","Transmit Frequency","Channel Type","Transmit Power","Band Width","CTCSS/DCS Decode","CTCSS/DCS Encode","Contact","Contact Call Type","Contact TG/DMR ID","Radio ID","Busy Lock/TX Permit","Squelch Mode","Optional Signal","DTMF ID","2Tone ID","5Tone ID","PTT ID","Color Code","Slot","Scan List","Receive Group List","PTT Prohibit","Reverse","TDMA","TDMA Adaptive","AES Digital Encryption","Digital Encryption","Call Confirmation","Talk Around(Simplex)","Work Alone","Custom CTCSS","2TONE Decode","Ranging","Simplex","APRS RX","Analog APRS PTT Mode","Digital APRS PTT Mode","APRS Report Type","Digital APRS Report Channel","Correct Frequency[Hz]","SMS Confirmation","Exclude Channel From Roaming","DMR MODE","DataACK Disable","R5toneBot","R5ToneEot","Auto Scan","Send Talker Alias","ARC4","ex_emg_kind"
"83","Westcreek Centra","446.87500","441.87500","D-Digital","High","12.5K","Off","Off","Central","Group Call","720","RMHAM Sample","Different Color Code","Carrier","Off","1","1","1","Off","6","2","RMHAM Central","Central","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","0.0","0","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","0","0"
"84","Westcreek Rk Mtn","446.87500","441.87500","D-Digital","High","12.5K","Off","Off","Rocky Mountain","Group Call","700","RMHAM Sample","Different Color Code","Carrier","Off","1","1","1","Off","6","1","RMHAM Central","Rocky Mountain","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","0.0","0","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","0","0"
"85","Trailer Central","438.22500","433.22500","D-Digital","High","12.5K","Off","Off","Central","Group Call","720","RMHAM Sample","Different Color Code","Carrier","Off","1","1","1","Off","7","2","None","Central","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","0.0","0","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","0","0"
"86","Trailer North","438.22500","433.22500","D-Digital","High","12.5K","Off","Off","North","Group Call","721","RMHAM Sample","Different Color Code","Carrier","Off","1","1","1","Off","7","2","None","North","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","0.0","0","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","0","0"
"87","Trailer Rk Mtn","438.22500","433.22500","D-Digital","High","12.5K","Off","Off","Rocky Mountain","Group Call","700","RMHAM Sample","Different Color Code","Carrier","Off","1","1","1","Off","7","1","None","Rocky Mountain","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","0.0","0","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","0","0"
"88","Trailer South","438.22500","433.22500","D-Digital","High","12.5K","Off","Off","South","Group Call","719","RMHAM Sample","Different Color Code","Carrier","Off","1","1","1","Off","7","2","None","South","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","0.0","0","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","0","0"
"89","Critchell UHF","447.50000","442.50000","A-Analog","High","25K","88.5","88.5","Local","Group Call","2","RMHAM Sample","Off","CTCSS/DCS","Off","1","1","1","Off","0","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","0.0","0","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","0","0"
"90","Guy UHF","448.22500","443.22500","A-Analog","High","25K","88.5","88.5","Local","Group Call","2","RMHAM Sample","Off","CTCSS/DCS","Off","1","1","1","Off","0","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","0.0","0","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","0","0"
"91","Squaw","448.22500","443.22500","A-Analog","High","25K","141.3","141.3","Local","Group Call","2","RMHAM Sample","Off","CTCSS/DCS","Off","1","1","1","Off","0","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","0.0","0","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","0","0"
"92","Thoradin","449.22500","444.22500","A-Analog","High","25K","141.3","141.3","Local","Group Call","2","RMHAM Sample","Off","CTCSS/DCS","Off","1","1","1","Off","0","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","0.0","0","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","0","0"
